1.10E-06,-6.9627,,1.00E+00,,1.01E+00
1.20E-06,-6.9287,,1.01E+00,,
1.30E-06,-6.89,,1.00E+00,,
1.40E-06,-6.861,,1.01E+00,,
1.70E-06,-6.777,,1.01E+00,,
2.00E-06,-6.701,,1.00E+00,,
2.50E-06,-6.6055,,1.00E+00,,
2.90E-06,-6.545,,1.01E+00,,
3.40E-06,-6.479,,1.01E+00,,
3.70E-06,-6.442,,1.01E+00,,
4.40E-06,-6.361,,1.00E+00,,
4.90E-06,-6.318,,1.01E+00,,
5.40E-06,-6.213,,9.45E-01,,
6.10E-06,-6.227,,1.01E+00,,
7.60E-06,-6.1288,,1.01E+00,,
8.50E-06,-6.0769,,1.01E+00,,
9.70E-06,-6.0242,,1.01E+00,,
1.10E-05,-5.97,,1.01E+00,,
1.60E-05,-5.8017,,1.01E+00,,
2.10E-05,-5.685,,1.01E+00,,
2.70E-05,-5.66,,1.09E+00,,
3.60E-05,-5.4445,,1.00E+00,,
4.90E-05,-5.3207,,1.01E+00,,
6.50E-05,-5.1958,,1.01E+00,,
8.70E-05,-5.0687,,1.01E+00,,
1.10E-04,-5.0004,,1.04E+00,,
1.80E-04,-4.794,,1.05E+00,,
2.50E-04,-4.654,,1.05E+00,,
4.60E-04,-4.3575,,1.02E+00,,
8.90E-04,-4.0638,,1.01E+00,,
